Person ID,Gender,Current Grade,City,Roles
262294,Male,None,,"DECEASED, Alum 1925"
262295,Male,None,,"DECEASED, Alum '44"
262296,Male,None,,"DECEASED, Alum '53"
262297,Male,None,,"DECEASED, Alum 1927"
262298,Male,None,,"DECEASED, Alum 1927"
262299,Female,None,Newtonville,Alum '93
262300,Male,None,,"DECEASED, Alum 1929"
262301,Male,None,,"DECEASED, Alum 1929"
262302,Female,None,Falls Church,Alum '93
262303,Male,None,,"DECEASED, Alum '55"
262304,Male,None,,"DECEASED, Alum '53"
262305,Male,None,,"DECEASED, Alum '51"
262306,Male,None,,"DECEASED, Alum '53"
262307,Male,None,Earlysville,Alum '93
262308,Male,None,,"DECEASED, Alum '37"
262309,Male,None,Del Mar,Alum '93
262310,Female,None,Pelham,Alum '93
262311,Male,None,,"DECEASED, Alum '31"
262312,Female,None,Austin,Alum '93
262313,Female,None,Lexington,Alum '93
262314,Male,None,,"DECEASED, Alum '53"
262315,Male,None,Winchester,Alum '94
262316,Female,None,Portland,Alum '95
262317,Male,None,Sullivans Island,Alum '95
262319,Male,None,Boston,Alum '95
262320,Female,None,Athens,Alum '94
262321,Male,None,,"DECEASED, Alum '53"
262322,Male,None,Arlington,Alum '95
262324,Male,None,New York,Alum '94
262325,Female,None,Kittery,Alum '94
262326,Male,None,Tampa,Alum '94
262327,Female,None,,Alum '94
262328,Female,None,Mansfield,Alum '94
262329,Male,None,New York,Alum '53
262330,Female,None,Washington,Alum '94
262331,Male,None,Weston,Alum '94
262333,Male,None,,"DECEASED, Alum 1925"
262336,Female,None,New York,Alum '94
262337,Female,None,Lexington,Alum '94
262338,Male,None,,"DECEASED, Alum '53"
262339,Female,None,Brookline,Alum '94
262340,Male,None,,"DECEASED, Alum 1927"
262341,Male,None,Wellesley,Alum '94
262342,Male,None,,"DECEASED, Alum 1928"
262343,Male,None,,"DECEASED, Alum 1929"
262344,Male,None,,"DECEASED, Alum '53"
262345,Male,None,,"DECEASED, Alum 1929"
262346,Male,None,,"DECEASED, Alum '30"
262347,Male,None,,"DECEASED, Alum '30"
262348,Female,None,Denver,Alum '94
262349,Male,None,Cohasset,"Alum '94, Parent, Prnt of Prg Stud"
262350,Male,None,,"DECEASED, Alum '30"
262351,Female,None,New York,Alum '94
262352,Female,None,New York,Alum '94
262353,Male,None,Larchmont,Alum '94
262354,Male,None,,"DECEASED, Alum '58"
262355,Male,None,Falmouth,Alum '53
262356,Male,None,Exeter,Alum '94
262357,Male,None,,Alum '94
262358,Male,None,,"DECEASED, Alum '57"
262359,Male,None,,"DECEASED, Alum '54"
262360,Female,None,Madison,Alum '94
262361,Female,None,Ellsworth,Alum '94
262362,Male,None,Boston,Alum '94
262363,Male,None,,"DECEASED, Alum '48"
262364,Male,None,,"DECEASED, Alum '53"
262365,Male,None,Southborough,Alum '94
262366,Male,None,,"DECEASED, Alum '39"
262367,Male,None,,Alum '38
262368,Male,None,,"DECEASED, Alum '35"
262369,Male,None,,"DECEASED, Alum '34"
262370,Male,None,,"DECEASED, Alum '33"
262371,Male,None,,"DECEASED, Alum '33"
262372,Male,None,,"DECEASED, Alum '32"
262373,Male,None,Westwood,"Alum '53, Trustee - Former"
262374,Female,None,Marshfield,Alum '94
262375,Female,None,Newton,Alum '94
262376,Male,None,North Easton,Alum '94
262377,Male,None,,"DECEASED, Alum '53"
262378,Male,None,Andover,Alum '94
262379,Male,None,Hingham,Alum '94
262380,Female,None,Wayland,Alum '94
262381,Female,None,Gaithersburg,Alum '94
262382,Female,None,Sebastopol,Alum '95
262383,Male,None,Duxbury,Alum '95
262384,Male,None,,"DECEASED, Alum '53"
262385,Male,None,Wayland,Alum '95
262386,Male,None,,Alum '96
262387,Male,None,New York,Alum '96
262388,Male,None,San Diego,Alum '96
262389,Female,None,Reading,Alum '95
262391,Female,None,Seattle,Alum '96
262392,Male,None,Santa Barbara,Alum '54
262393,Female,None,,"Alum '95, Sister of Alum"
